Number,MSE,SSIM,file,Truth_route,Generation_route
0,0.0110132871195673,0.8918156673408244,5738.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0055182268843054,0.9544148381091346,6083.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0094357747584581,0.9072686044022072,8078.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0040943631902337,0.8586873195388101,7130.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0055410205386579,0.9529532620852644,6134.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0066721783950924,0.8930479953188665,8343.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0062554627656936,0.9442567104273591,9224.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0058880215510725,0.8773627490698059,2411.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0072991154156625,0.8571916732105834,1122.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0054955706000328,0.8837584924599355,6819.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0056050661951303,0.887922995654512,9725.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0102095557376742,0.8655615307329115,4081.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.005819680634886,0.90831633272373,3252.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0175866615027189,0.8763996677950394,72.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0054808002896606,0.9539802778543028,7839.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0134299406781792,0.8649459626864303,933.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0086748227477073,0.8808307377390625,149.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0076966271735727,0.9191630817641896,3360.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.005945770535618,0.9330311194062232,8732.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0129479048773646,0.8697933912400372,9898.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0045873443596065,0.9608571361596426,9053.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0063568172045052,0.8722646148983112,4228.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0075954496860504,0.9373297691807028,7914.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.009795544669032,0.9148741509796174,1996.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0119234956800937,0.8306083586836649,1795.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0040317894890904,0.9399539524119748,5134.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0100804045796394,0.8882419982971239,897.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0058067147620022,0.8719171255303562,7626.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0141181955114007,0.7775074096381172,486.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0048648873344063,0.8529559096152132,4789.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0048083742149174,0.8441394090283015,6924.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0064807096496224,0.9312272451140664,9441.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0052021392621099,0.8727482717699748,8374.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0061694285832345,0.941319579720374,4393.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.010195548646152,0.8701444720726245,3266.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0049864258617162,0.8602863524940388,5252.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
